Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:15:25,500;13.5;;;;;;;12.0;;;4.0;;;;
19:15:26,0;18.0;;;;3.0;;;;;;4.0;;;;
19:15:26,500;13.0;;;;3.0;;;;;;;;3.0;;
19:15:27,0;18.0;;;;;;;;;;4.0;;;;
19:15:27,500;16.0;;;;;;;;2.0;;;;;;15.0
19:15:28,0;18.0;;;;;;;;;10.0;;;;;
19:15:28,500;14.5;;;;;;;;;;4.0;;5.0;;
19:15:29,0;16.0;;;;;;;;;10.0;;;;;
19:15:29,500;16.0;5.0;;;;;;;;;;4.0;;;
19:15:30,0;17.0;;;;;;;12.0;;10.0;;;;;
19:15:30,500;15.0;;;;;;;;;10.0;;4.0;;;
19:15:31,0;18.0;;;;;;;;;;4.0;;;;
19:15:31,500;;;137.0;;;;;;;9.0;4.0;3.0;;;
19:15:32,0;19.0;;;;;;;;;10.0;;;;;
19:15:32,500;15.0;;;;2.0;;;;;12.0;;;;;
19:15:33,0;19.0;;;;;;;13.0;;10.0;3.0;;;;
19:15:33,500;;;138.0;;;;;;;10.5;;;;;
19:15:34,0;16.5;;;;;;;11.0;;;;;;;
19:15:34,500;14.0;5.0;139.0;;;;;;;;;;4.0;;
19:15:35,0;18.0;;;;;;;;;10.0;;;4.0;;
19:15:35,500;;;;;;;;;;10.0;4.0;;4.0;;15.0
19:15:36,0;18.0;;;;;;;;;;;7.0;;;
19:15:36,500;;;158.5;;;;;;;10.0;10.0;;3.5;;
19:15:37,0;18.0;;;;;;;12.0;;;;;;;
19:15:37,500;12.5;;141.0;;;;;11.0;;8.5;;;;;
19:15:38,0;15.5;;;;;;;12.0;;;;;;;
19:15:38,500;14.0;;;;;;;;;9.5;4.0;4.0;;;
19:15:39,0;17.0;;;;;;;10.0;;;3.0;;4.0;;
19:15:39,500;;;138.0;;;;;12.0;;;3.0;4.0;;;
19:15:40,0;16.0;;;;;;;;;;;;;;15.0
19:15:40,500;14.0;;159.5;;;;;13.0;;10.0;;;5.0;;
19:15:41,0;16.0;;;;;;;;;;4.0;;;;
19:15:41,500;14.0;6.0;;;;;;;;9.0;;;4.0;;14.0
19:15:42,0;17.0;;;;;;;;;10.0;;;5.0;;
19:15:42,500;13.5;;136.0;;;;;12.0;;9.0;;;;;
19:15:43,0;17.0;;;;;;;10.0;;10.0;;;;;
19:15:43,500;;;;;4.0;;;;;9.333333333333334;5.0;3.0;;;
19:15:44,0;18.0;;;;;;;;;8.0;;;4.0;;
19:15:44,500;13.0;;137.0;;;;;;;9.0;;;;;
19:15:45,0;20.0;;;;;;;;;;4.0;;3.0;24.0;
19:15:45,500;;5.5;163.5;;;;;;;10.0;;4.0;;;
19:15:46,0;16.0;;;;;;;;;;;4.0;;;
19:15:46,500;12.5;;147.0;;;;;12.0;;9.0;;;;;
19:15:47,0;19.0;;;;;;;;;10.0;;;;;
19:15:47,500;19.0;;140.0;;;;;12.0;;10.0;;4.0;4.0;;
19:15:48,0;16.0;;;;2.0;;;;;;;4.0;;;
19:15:48,500;14.0;;;;;;;11.0;;;;;3.0;23.0;
19:15:49,0;17.0;;;;;;;;;;5.0;4.0;;;
19:15:49,500;13.0;;136.0;;;;2.0;;;;3.0;3.0;;;
19:15:50,0;18.0;;;;2.0;;;;;9.0;;;;;
19:15:50,500;;5.0;139.0;;;;;11.5;;9.0;4.0;4.0;;;
19:15:51,0;17.0;;;;;;;;;;;3.0;4.0;;
19:15:51,500;15.0;;;;;;;12.0;;11.0;3.0;;;;15.0
19:15:52,0;16.0;;;;;;;11.0;1.0;;;;;;
19:15:52,500;14.0;5.0;;;;;;;;9.0;4.0;;;23.0;14.0
19:15:53,0;14.5;;;;;;;;;8.0;;;;;
