1437157558845,196,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55682,1,1,85
1437157566094,56,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55661,1,1,2
1437157573190,45,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55662,1,1,2
1437157580272,47,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55699,1,1,2
1437157587354,43,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55667,1,1,2
1437157594430,42,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55726,1,1,2
1437157601503,43,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55798,1,1,2
1437157608577,39,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55677,1,1,2
1437157615644,43,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55691,1,1,2
1437157622712,43,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55694,1,1,2
1437157629781,43,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55562,1,1,1
1437157636848,32,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55727,1,1,1
1437157643901,30,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55698,1,1,2
1437157650952,34,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55758,1,1,2
1437157658007,37,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55678,1,1,2
1437157665070,38,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55683,1,1,2
1437157672130,37,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55687,1,1,1
1437157679189,35,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55702,1,1,2
1437157686244,34,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55736,1,1,2
1437157693296,30,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55728,1,1,2
1437157700346,31,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55715,1,1,2
1437157707394,31,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55717,1,1,1
1437157714441,27,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55649,1,1,2
1437157721486,29,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55733,1,1,1
1437157728532,30,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55748,1,1,2
1437157735579,38,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55758,1,1,2
1437157742633,30,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55675,1,1,2
1437157749679,29,/,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,55792,1,1,2
