Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
18:53:12,0;485.5;;521.0;;;;;369.0;;296.0;;33.0;;;
18:53:12,500;;;;;;;;;;;;44.0;;;
18:53:13,0;446.0;;;;;;;;;244.0;;;30.0;;
18:53:14,0;469.0;;503.0;;;;;370.0;;255.0;;;;;119.0
18:53:14,500;;;;;;;;;;309.0;;32.0;;;
18:53:15,0;453.0;;;;;;;;;;;;60.0;;
18:53:15,500;437.0;;532.0;;;;;;;;30.0;;26.0;;
18:53:16,0;442.6666666666667;;;;;;;;;;;;;;
18:53:16,500;424.0;;;;;;;;;;;;;;
18:53:17,0;454.5;;;;;;;;;251.0;;56.0;;;
18:53:17,500;426.0;;;;;;;;;;35.0;32.0;60.0;399.0;
18:53:18,0;445.0;;500.0;;;;;;;281.0;;;;;
18:53:18,500;443.0;;;;;;;;;235.0;35.0;;;;
18:53:19,0;434.0;;;;35.0;;;;;;;37.0;;;
18:53:19,500;447.0;;508.0;;;;;;;;;;63.0;;
18:53:20,0;447.0;;;;32.0;;;;;424.0;;;;;
18:53:20,500;427.0;;;;;;;352.0;;;;;;;
18:53:21,0;433.0;35.0;;;30.0;;;;;;29.5;31.0;;;
18:53:21,500;;;;;;;;;;264.0;;30.0;;;
18:53:22,0;419.0;;;;;;;;;273.0;;;33.0;;
18:53:22,500;;;;;;;;;;;;;43.5;;
18:53:23,0;486.25;;;;;;;;;270.0;;37.0;29.0;;
18:53:24,0;434.0;;;;;;;;;;35.0;56.0;;;
18:53:24,500;;;;;;;;353.0;;257.0;;46.0;;;
18:53:25,0;457.6666666666667;;;;;;;;;270.0;;28.0;;;
18:53:25,500;439.5;;509.0;;;;;;;288.0;;;;;
18:53:26,0;441.0;;;;;;;;;232.0;;;60.0;;
18:53:26,500;417.0;;;;;;;;;318.0;26.0;32.5;34.0;;
18:53:27,0;459.0;;494.0;;;;;;;;28.0;52.0;;;
18:53:27,500;384.0;;;;;;;;;250.0;;35.0;;;
18:53:28,0;444.0;39.0;;;;;;;;;;;;;71.0
18:53:28,500;507.0;;590.0;;;;;429.0;;262.0;;;;;
18:53:29,0;487.5;;564.0;;;;;;;;;49.5;;;
18:53:29,500;401.0;;;;;;;;;;;;;;
18:53:30,0;474.0;;;;;;;;;;52.5;39.0;39.0;;
18:53:30,500;392.0;;534.0;;;;;;;;;60.0;;;
18:53:31,0;433.0;;;;;;;;28.0;318.0;;;;;
18:53:31,500;428.0;;;;;;;397.0;;;;;32.0;409.0;
18:53:32,0;493.6666666666667;;;;;;;358.0;;;66.0;31.0;;;
18:53:32,500;418.0;;;;;;;;;;26.5;;;;
18:53:33,0;496.0;;;;;;;;;;;;;;
18:53:33,500;488.3333333333333;;586.5;;;;;;;;;30.0;45.5;;
18:53:34,0;462.0;;;;;;;;;;51.0;;;412.0;
18:53:34,500;403.0;;;;;;;;;253.66666666666666;40.0;;63.0;;
18:53:35,0;483.0;;;;;;;;;371.0;;;27.0;;
18:53:35,500;;;;;;;;;;341.0;29.5;;30.0;363.0;
18:53:36,0;463.0;;481.0;;;;;;;314.0;;62.0;;;
18:53:36,500;445.0;;493.0;;;;;427.0;28.0;366.0;;;;;
18:53:37,0;437.0;;;;44.0;;;;;336.0;38.0;;;;
18:53:37,500;471.5;;536.0;;;;;433.0;;;;;54.0;;43.0
18:53:38,0;440.0;;480.0;;;;;;;;;;;;
18:53:38,500;447.0;;;;;;;358.0;;;;;29.0;;
18:53:39,0;476.0;;;;;;;429.0;;365.0;49.0;;40.0;;63.0
18:53:39,500;;;;;;;;;;;;;;359.0;
18:53:40,0;452.5;;484.0;;;;;400.0;;;;;;;
18:53:40,500;394.5;70.0;;;;;;;;226.0;;30.0;;;
18:53:41,0;477.0;;;;;;;396.5;;264.0;;;;;78.0
18:53:41,500;452.5;;486.0;;;;;;;;54.5;;;;
18:53:42,0;421.5;77.0;;;;;;;;263.0;32.0;;;;
18:53:42,500;;36.0;;;;;;;;233.0;;;;;38.0
18:53:43,0;474.5;;544.0;;;;;;;;63.0;;;;
18:53:43,500;436.0;;;;;;;421.0;;284.0;39.0;;;;
18:53:44,0;463.3333333333333;;;;;;;;;280.0;;43.0;;;72.0
18:53:44,500;;33.0;;;;;;;;;;;35.0;;
18:53:45,0;455.5;;490.0;;;;;;;264.0;;;31.0;;
18:53:45,500;;;458.0;;26.0;;;;;247.0;26.0;;;;
18:53:46,0;487.0;;;;;;;;;;;62.0;55.0;;
18:53:46,500;476.0;62.0;498.0;;;;;386.0;;291.0;;;;;
18:53:47,0;490.0;;;;;;;;;557.0;;;43.0;;
18:53:47,500;412.5;;;;;;;374.0;;330.0;36.0;31.0;;;
18:53:48,0;431.5;;;;39.0;;;;;;;27.0;;;
18:53:48,500;457.6666666666667;;;;;;;398.0;;;;56.0;30.0;;
18:53:49,0;451.0;43.0;508.5;;;;;;;245.0;31.0;;42.0;;
18:53:49,500;;31.0;525.0;;;;;377.0;;248.0;34.0;;;;
18:53:50,0;416.0;;482.0;;;;;;29.0;264.0;;;;;
18:53:50,500;434.0;;;;;;;;37.0;;29.5;58.0;56.0;;
18:53:51,0;423.0;;;;;;;;;;29.0;45.5;29.0;;
18:53:51,500;;;;;;;;325.0;;;;65.0;72.0;;
18:53:52,0;453.0;;480.0;;;;;;;316.0;;;;;
18:53:52,500;483.0;;548.0;;;;;399.0;61.0;276.0;;;;;
18:53:53,0;469.3333333333333;;533.0;;;;;;;;49.0;;;;
18:53:53,500;;41.0;500.0;;;;;406.0;;312.0;36.0;56.0;36.5;;
18:53:54,0;439.5;31.0;;;54.0;;27.0;;;;;;;;
18:53:54,500;;;;;;;;;;233.5;26.5;63.0;;;38.0
18:53:55,0;446.6666666666667;;;;;;;;25.0;;;;57.0;;
18:53:55,500;;;483.0;;;;;;;;;35.0;35.0;;
18:53:56,0;436.0;;517.0;;;;;;56.0;284.5;;60.0;35.0;;
18:53:56,500;457.0;;468.0;;;;;352.0;25.0;;;32.0;;;
18:53:57,0;456.0;;;;;;;;;;27.5;28.0;;;
18:53:57,500;411.0;;;;;;;;;255.0;;57.0;54.0;;
18:53:58,0;482.0;;523.0;;;;;;;292.0;69.0;;;;
18:53:58,500;487.25;;;;;;;394.0;;;;65.0;;;47.0
18:53:59,0;455.0;39.0;;;;;;386.0;;;;;29.0;;
18:53:59,500;407.0;;;;;;;;;;31.0;31.0;;;
18:54:00,0;464.0;;;;26.0;;;;;230.0;;33.0;27.0;;
18:54:00,500;;61.0;;;;;;;;274.0;;50.5;25.0;;65.0
18:54:01,0;463.5;46.0;501.5;;33.0;;;410.0;;;;;31.0;;
18:54:01,500;428.0;;;;;;;;;268.0;;35.0;;;
18:54:02,0;493.0;;531.5;;;;;;;334.0;40.0;;;;
18:54:02,500;454.0;;;;;;;;;;;27.0;95.0;358.0;
18:54:03,0;471.0;;;;52.0;;;;;334.0;41.333333333333336;;31.333333333333332;;
18:54:03,500;423.0;;;;;;;;;232.0;;;32.0;;
18:54:04,0;516.6666666666666;;574.0;;53.0;;;467.0;;353.5;;68.0;43.0;;
18:54:04,500;;;512.0;;;;;;;237.0;;33.0;;;
18:54:05,0;506.5;;;;62.0;;;341.0;;330.5;;30.0;;;
18:54:05,500;479.0;51.0;;;;;;;;330.5;37.0;;;;
18:54:06,0;466.0;;;;;;;386.0;;;29.0;;;;
18:54:06,500;432.6666666666667;;;;;;;416.0;;292.0;;62.5;;;
18:54:07,0;515.0;;518.0;;;;;;;334.0;;;;;
18:54:07,500;472.0;;521.0;;;;;427.0;27.0;314.25;30.0;71.0;;;
18:54:08,0;483.0;35.0;615.0;61.0;;;;;;323.0;63.0;33.0;31.0;;
18:54:08,500;412.0;;489.0;;;;;;;285.0;;;35.0;;
18:54:09,0;452.0;;;;;;;337.0;;;;25.0;28.0;;
18:54:09,500;438.0;;;;;;;369.0;;296.5;;59.0;40.0;;
18:54:10,0;454.0;;537.0;;;;;;;337.3333333333333;67.0;39.0;54.333333333333336;;
18:54:10,500;481.0;;;;;;;377.0;;285.0;;32.0;39.0;;
18:54:11,0;463.3333333333333;69.0;;;;;;377.0;;289.0;29.0;34.0;71.0;;
18:54:11,500;;;578.0;;;;;;;266.5;;;;;
18:54:12,0;511.5;;619.0;;;;;431.0;;281.5;36.5;32.0;;423.0;
18:54:12,500;454.0;;;;;;;379.0;;;28.0;59.0;30.0;;
18:54:13,0;437.0;69.0;;;;;;;;299.0;42.0;37.0;25.0;;
18:54:13,500;455.0;;;;;;;363.0;;;33.0;;28.0;;
18:54:14,0;506.0;;;;;;;494.0;;;41.0;;;;
18:54:14,500;470.0;34.0;;;;;;;42.0;295.6666666666667;;37.0;;;
18:54:15,0;438.0;53.0;521.0;;;;;420.5;;302.5;44.0;;35.0;;
18:54:15,500;482.6666666666667;;556.0;;;;;;;284.0;;38.0;;;
18:54:16,0;468.0;;;;;;;367.0;;266.0;;;57.0;;
18:54:16,500;446.0;;;;;;;;;256.5;;;28.666666666666668;402.0;
18:54:17,0;568.0;45.0;579.0;;36.0;;;;;357.0;66.0;68.0;;;
18:54:17,500;483.3333333333333;;546.5;;;;;462.0;;328.0;;64.0;;;
18:54:18,0;456.0;;;;;;;;;;;31.0;61.0;375.0;
18:54:18,500;563.0;53.0;675.0;;;;;;;;;33.0;;;
18:54:19,0;557.5;;629.0;;;;;435.0;;322.0;31.0;61.5;32.0;;
18:54:19,500;441.6666666666667;;;;;;;330.0;61.0;283.0;;33.0;;;
18:54:20,0;629.0;88.0;605.0;;;;;485.0;;529.0;;;36.0;;
18:54:20,500;502.0;;555.0;;;;;426.0;;265.5;28.0;;;;
18:54:21,0;503.5;;594.0;;;;;;;336.0;;34.0;;;
18:54:21,500;457.0;34.0;501.5;;;;;;32.0;273.0;;32.5;66.0;;
18:54:22,0;491.6666666666667;51.0;;;;;;412.0;;;45.0;;46.0;;
18:54:22,500;518.0;;509.6666666666667;;;;;379.0;;263.0;46.0;;74.0;;
18:54:23,0;495.3333333333333;;;;;;;413.5;;284.0;;;31.0;407.0;
18:54:23,500;459.0;41.0;;;;;;416.0;;267.6666666666667;;;;;
18:54:24,0;513.6666666666666;;;;;;;439.0;;313.0;54.0;65.0;25.0;;
18:54:24,500;518.0;44.0;607.0;;;;;435.0;;365.0;51.5;30.0;;;
18:54:25,0;538.8;;;;;;;468.0;;362.0;38.0;;;;
18:54:25,500;494.0;36.0;;;;;;488.5;;;62.0;38.0;;;
18:54:26,0;479.6666666666667;;;;;;;;24.0;393.0;32.666666666666664;42.0;47.5;;99.0
18:54:26,500;;;;;29.0;;;;25.0;;;;42.75;;42.0
18:54:27,0;458.0;65.0;495.0;;;;;;;270.0;28.0;30.0;;;
18:54:27,500;430.0;;;;;;;365.0;;277.0;35.0;;;;
18:54:28,0;460.5;;523.0;;;;;367.0;;;;52.0;31.0;;
18:54:28,500;435.0;;509.0;;;;;;;;;51.5;;;
18:54:29,0;500.0;;541.5;;;;;405.75;;282.0;29.0;42.5;49.0;;
18:54:29,500;468.5;;489.0;;;;;;;293.0;32.0;39.0;76.0;;
18:54:30,0;488.0;;503.0;;38.0;;33.0;453.0;;276.6666666666667;;;;;
18:54:30,500;;;556.6666666666666;;;;;373.0;30.0;279.5;39.0;40.0;;;
18:54:31,0;474.0;;;;;;;360.0;;274.0;42.5;;35.0;;
18:54:31,500;452.0;45.0;526.0;;;;;;;306.0;31.0;55.0;35.0;;
18:54:32,0;508.5;;;;29.0;;;422.0;;367.0;53.666666666666664;;39.5;;
18:54:32,500;487.6666666666667;;;;;;;416.0;;263.0;;38.0;31.0;395.0;
18:54:33,0;557.5;;515.3333333333334;;;;;;;;;33.0;53.0;;
18:54:33,500;;;580.5;;;;;419.5;;290.0;;73.0;53.5;405.0;
18:54:34,0;458.0;;;;;;;;;294.0;;33.0;65.0;;
18:54:34,500;444.0;;;;;;;;;260.0;46.0;;;;
18:54:35,0;510.6666666666667;;551.0;;;;;439.0;;;33.0;61.0;61.0;;
18:54:35,500;502.0;;509.0;;;;;399.0;;;48.0;;28.0;;
18:54:36,0;508.5;39.0;;;;;;415.0;76.0;;37.0;40.0;;;
18:54:36,500;542.5;;;;;;;474.0;;361.6666666666667;67.5;73.0;29.0;;
18:54:37,0;484.0;45.0;633.0;;37.0;;;486.0;;472.5;;;36.0;;
18:54:37,500;531.0;;;;;;;408.0;;376.0;;;;;
18:54:38,0;506.4;;;;;;;419.3333333333333;;288.0;59.0;55.0;;;
18:54:38,500;;;460.0;;;;;374.0;;257.0;28.0;65.5;28.0;;61.0
18:54:39,0;476.6666666666667;;550.0;;;;;;40.5;276.0;;31.0;;;
18:54:39,500;475.0;73.0;556.5;;;;;;;308.0;63.0;;34.0;;
18:54:40,0;466.0;51.5;486.0;;;;;;28.0;255.0;;;34.0;395.0;
18:54:40,500;;76.5;559.0;;;;;403.0;;324.3333333333333;37.5;;;;
18:54:41,0;575.6666666666666;;;;;;;493.5;;352.0;;44.0;61.0;508.0;
18:54:41,500;;;520.0;;;;;;;253.0;56.0;41.5;;;
18:54:42,0;504.3333333333333;;;;;;;416.5;;316.0;50.666666666666664;;;;
18:54:42,500;422.0;;;;65.0;;;;;253.0;34.0;61.0;67.0;398.0;35.0
18:54:43,0;463.0;43.0;489.0;;59.0;;;354.0;;;62.0;;;;
18:54:43,500;443.0;;540.0;;;;;;;374.0;58.333333333333336;;;;
18:54:44,0;559.0;;558.0;;;;;497.0;;332.0;;44.0;;;42.0
18:54:44,500;426.0;;;59.0;;;;396.0;;;29.0;56.0;;;
18:54:45,0;504.6666666666667;;;;;;;448.0;36.0;312.5;28.0;;43.0;;
18:54:45,500;566.0;;647.5;;;;;489.0;;416.3333333333333;42.0;113.0;41.0;;
